Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty,
.3..7..1..7..1.5.9...8...74.15...96.9.....3...........3.....1...9...14.81...96...,25,64,21,2,0,0,0,6,8,Expert,
..8..72.36...9..5......46..5.9.........4......2..5...7.362.....89.......7.2.8...9,24,23,33,0,0,6,0,1,0,Expert,
.9.87.5.45....3.9.48.1..3......1..3....9.7...9..5....1...4..1.52...8..4.1....9..8,28,30,28,2,0,1,0,3,2,Expert,
7..42.1........2.3...9.....2..5...7.5...1..42..38...1.....8.....8.7..93.4..2.9...,25,121,29,2,2,7,1,17,20,Expert,
....3189...5...1.........6.....1.6...3.5.2.896..8...3.961..5....2..4.....5.3....2,26,44,25,1,0,0,0,5,4,Expert,
...9..6......83.2.....2...5.6..9753.7..3.586.........2.2.5....3.1........3586...7,27,36,28,1,0,1,0,4,4,Expert,
.5.9.82....97.....8..6....5.8.1.3.....7.2..5..91.....6..5.......2..1....61....9.8,25,42,13,3,0,1,0,1,0,Expert,
2....68.58.4....1..1....7..........2.57..8..66..5.43.......3.....8.254.....7.....,24,79,17,5,0,0,0,5,4,Expert,
...8763.....1..........56.24.2..7..5.514....88.......7...5.....3....8....2..4..7.,24,42,13,1,0,5,1,2,0,Expert,
7......16.28..7.......3........985....5........72.1.69.........1.69.2..7.9..8...2,24,60,19,1,0,1,0,3,2,Expert,
.8.9....6..2..5.98.....715......2....7.64........9..645....862.....2...1...1.6.8.,26,33,20,1,0,0,0,2,0,Expert,
.17..2..9....1.7.5....8.2....9.2.......7..963.....5....6.97...23.....1.......3.5.,24,63,22,1,0,0,0,6,4,Expert,
.........79..3.2...269......3...567......49....7..91.5.436.....1......942.....3..,25,47,19,1,0,0,0,4,2,Expert,
69...78.....3...7.....253..7.....6...3.19......6.....31.....72.2..7....6..5.....8,24,78,16,1,0,0,1,7,10,Expert,
......75...17.4.3.5...62..1...4..3.6...2.8..7....7.....7.......45.61.....36845...,27,49,16,1,0,2,0,2,2,Expert,
57........3925761....1......5....94..9.6.....7.2...3...24.71.9.31.9.6..........3.,28,45,7,1,3,1,0,1,0,Expert,
....3.7..32.9.......5..4.......7.....678........5.3..47...82..963......58......4.,23,38,19,0,0,3,0,1,0,Expert,
5.......4......2...4...98...8..6.5.7.9.2..4...2......965.73....9...54..3..4....6.,25,45,21,2,0,2,0,3,2,Expert,
3..824...7..3....1.........2.6..71.......5..847......6.2..5.86...3.........6..54.,24,70,19,2,0,2,0,6,6,Expert,
