Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty,
...7.....3.5.......7..8..4......6..7....3..24...8.13..8....7...5.12..8..24....513,25,29,27,3,0,0,0,0,0,Intermediate,
.5..1..6.84...2.5..69.78....25.........7.5.......4........8...278.124...4....71.8,27,37,17,2,0,0,0,0,0,Intermediate,
.8..5....3..8.4.719176.3...746.....5..8...4...5.....386...........7...8....3.5..6,27,40,14,1,0,0,0,0,0,Intermediate,
.8.3.4..9...8.9..17...2......16..2.4..6....38.3.91...6...1....2.........619..3...,26,39,16,1,0,0,0,0,0,Intermediate,
6...83.5.........373.42.8.......8.4..512.....2..16....1.....2.84........38..7....,25,48,8,1,0,0,0,0,0,Intermediate,
2....43.78....5.....672..1....571.........1..4..3......5...273..3..1..4....4...6.,25,35,21,0,1,2,0,0,0,Intermediate,
..1..3....6.75.9...4.9..7......7..514..............4.3.2..94....3.12...7..56..1..,25,36,20,1,1,1,0,0,0,Intermediate,
.7.....6.64.28971.8....72.4.13.....2....7...6.9...1......4...7.....23.9....8.....,26,39,16,1,0,0,0,0,0,Intermediate,
5......2....1..3.8....9415.8275.1...4.3..8.7.....4......18..........72....9....8.,25,38,18,1,0,0,0,0,0,Intermediate,
.4..9....16.3.5.....9.47.3.....718..3....89.....6...............1.7...4.784...5.9,25,40,16,0,0,2,0,0,0,Intermediate,
.......14.71...9...5.4.....2......8.5.......11...9534.....14....8...2..........97,22,45,14,2,0,0,0,0,0,Intermediate,
.....57..........437......9.....9..1..6...843.4...1...5...4..7...4...93...1923...,24,43,14,2,0,0,0,0,0,Intermediate,
...3..2...4.2.....5...1...73.452.......7.834..........1...5.8.2...9..7......87.93,25,48,8,2,0,1,0,0,0,Intermediate,
....2..7....1......6......4..8.1.....1.64.5.7.....7.9....7..98....4...25.57.81.6.,25,47,9,2,0,0,0,0,0,Intermediate,
..81..2.4....34.......5.9.7945.....88......7..7.3.1.9.2.........1.24.......9.....,24,48,9,1,0,0,0,0,0,Intermediate,
.......4.5..3..1.2...75.6......4.....471.65..1....7.2..7.....68.3..8.......2.1...,24,41,16,1,0,0,0,0,0,Intermediate,
..7.18.3.....7...9.18...2......2....6....9....5..3.....79.56.2..21..7.5..3..9...7,26,45,10,4,0,0,0,0,0,Intermediate,
7...........5......3.8....9.7.96...8..4..3.....9..8.3.......5.6..369..87.8517..93,27,43,11,3,0,0,0,0,0,Intermediate,
.25..4..69......7.74...9....9....23...6...5.4.345.........27.......9..6341.......,25,45,11,1,0,0,0,0,0,Intermediate,
...1....3....89.2......4.5812..3..6....2.....5.4.68...8..5..3.2......8..9.6.1..4.,26,41,14,1,0,0,0,0,0,Intermediate,
.3.86.9....1....7.8.......4.8....3.26....1.....29.....31.4..6..4..2....7.......9.,23,46,12,2,1,0,0,0,0,Intermediate,
....5...19.5173........4.6.7..4..9....2........65....2.49..52....17.9..3........6,25,40,16,6,0,1,0,0,0,Intermediate,
..5.8.......1.....61.97.....5..9.7....6258.9.....1..........86.9.2.....746.5.....,24,45,12,4,0,2,1,0,0,Intermediate,
6.4....5.285..6..4.........4.1...2.3...1...7......5.8.8.6..1...17..4......2...76.,25,38,18,4,0,0,0,0,0,Intermediate,
......6....5673.......8.9...3...7.2..54.....7.68..234....93...4...5....3.4...8...,25,43,13,2,0,4,0,0,0,Intermediate,
..6..3..7.8..7......59.1..8...5.8..1..47...3....64...97..3...4..5.....9..........,23,49,9,0,0,1,0,0,0,Intermediate,
.2......1..36..27.....2......18..4.9..276..8..4.3.....36..7...8....9......8...7..,24,48,9,2,0,0,1,0,0,Intermediate,
.2...89..3...4.......25.....9...68....3....528..5..7..9674.....4....3..8....62...,25,44,12,5,0,2,0,0,0,Intermediate,
7.......2..93..6..2.46..51.3......6...6....21........543.2.......7..1....1.7.64..,25,47,9,3,0,0,0,0,0,Intermediate,
....7.5...54......723.4...11..6..2.4.952........9..6....6..532..3.......2.71.....,26,45,10,1,0,0,0,0,0,Intermediate,
...9.1............9....7.81.....8.95.....5817....9.2..51.34...2.32....4...71..3..,26,46,9,1,0,0,0,0,0,Intermediate,
