Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty,
...8..............58.6...7..42..1..7.9.72....71.9.8.6.4...8...61....5.82......19.,26,43,12,0,0,0,0,0,0,Easy,
67...........1.9.....59...6.9..5.62.7.1......4..7..5....3.......6.123..9...6...4.,24,50,7,0,0,0,0,0,0,Easy,
.354.8....785...929......5....6.3.7.....458.3..6.8...........87....3..2....9.2...,26,46,9,0,0,0,0,0,0,Easy,
...5.2.....2..3.4..4....89..8.3.4.7.....56.....72..63......7...3.9.......2....9.4,24,43,14,0,0,0,0,0,0,Easy,
.482....19.3.71.4...7...5......293..3.5....1........8...4..59.....8...5.5..3..17.,27,48,6,0,0,0,0,0,0,Easy,
....6..4...5..31...1374..6....6.7.....84....2....254.......6......8.........1.6.3,23,47,11,0,0,0,0,0,0,Easy,
......27...........9..4....7.2.5..8......3...53...9.....7..5..4..8.91..34..8.21..,23,40,18,0,0,0,0,0,0,Easy,
....8.9...3.........5..37....7....8..5..1.3..89.....74.1..57.9..8.42..1.......5..,24,42,15,0,0,0,0,0,0,Easy,
..........26..31..4.7.9..6.25.......6....4......1....27..4..2.9......65..195..3..,24,39,18,0,0,0,0,0,0,Easy,
12......49...4.18.........634.97........2..9...98512....1.928..283...............,26,48,7,0,0,0,0,0,0,Easy,
........2...7..1389...6.7....7..62.4.......6..6.8.2.....29....7.....38....1.78...,24,38,19,0,0,0,0,0,0,Easy,
...8..4..35.7...19.14..586.......6839....6....4..5.....8........97..3.....367....,26,44,11,0,0,0,0,0,0,Easy,
..3.......6.....4372..1.........3.........9.79.......8..9..17..67...8....4..7.29.,22,37,22,0,0,0,0,0,0,Easy,
....12..9.....3...8.....41..2...56.......9.4.....26.984.6.....13...94.5.5.....92.,26,38,17,0,0,0,0,0,0,Easy,
............791.........8..2.93.8.....6..21.......57....3.1.5..98.5....1.618...93,25,41,15,0,0,0,0,0,0,Easy,
......3........4....52........3.7.1.7.4....5...285...915..4..7..7..9......81....2,23,46,12,0,0,0,0,0,0,Easy,
...........5....4.9...638......3....4..7.6.5...89.5.26.8..74.956.9.........2...67,26,42,13,0,0,0,0,0,0,Easy,
6.....7..8...143.5....8...........4......217348...7.6......6....7...8..2...13....,23,54,4,0,0,0,0,0,0,Easy,
......6.7.3...6284....9....9..3.7....21........7...1682.4....7.....8..4.....2.3.6,25,49,7,0,0,0,0,0,0,Easy,
2......1.3.18....4.5....3.............6....4..8...3.95612..5..9..36.9..8..92..4..,26,52,3,0,0,0,0,0,0,Easy,
.36.........51....2.....6...57.8....362....1.1..3......7.8..1......47....8.13.46.,25,45,11,0,0,0,0,0,0,Easy,
...8.79..8.....5....2..9.1...12.....78.........43.1..74...1.......7.58.9...928...,25,39,17,0,0,0,0,0,0,Easy,
5..7..6..6..4.....8..5...2.......24...7.....6..9....83.4.6.35....6....37..39..8.4,26,54,1,0,0,0,0,0,0,Easy,
.132..4..82...6...4...1.9.....7.2........4..8..6.9871........2.........993....8.6,25,39,17,0,0,0,0,0,0,Easy,
3.....6...1........72...9...632....1..7.89..2.8.7....6...1....983..6...4....48.2.,26,36,19,0,0,0,0,0,0,Easy,
....2.7861....85....5.3..4..4.16..3581.2.3..........2.....4...2.......6....81.3..,26,48,7,0,0,0,0,0,0,Easy,
..3.....5...........6.8...34.5.9..8..3..6.9.4...3..5...5.9......97.3...2.6.8.4.7.,25,49,7,0,0,0,0,0,0,Easy,
......4164.7..25...6...8.27.......75..5..3.......7....5..8..3...34.5.6.262...1...,27,45,9,0,0,0,0,0,0,Easy,
...3......1.294...4...8..972.6.3...9.417.9.26..3....4.......8....4..2....7...6...,26,46,9,0,0,0,0,0,0,Easy,
7..9............4.......2.55.4.......6..41.....1..8.67..52....6.....9.72....7.98.,23,31,27,0,0,0,0,0,0,Easy,
..7......41..6...7.2359..1..9...36.....67..52...1.4...1......7.3..........4...5..,24,44,13,0,0,0,0,0,0,Easy,
.......72......5......7.96..4..1.3.9..9.62..41...34...92...3....7.....2..5.2..1..,25,48,8,0,0,0,0,0,0,Easy,
.........65..3..24182........7.61..2.6.....1.4.....38..2.....677.......1....8.4..,24,39,18,0,0,0,0,0,0,Easy,
3..5...69...1.27...5..8.31....8...3..7...6..8....2....6.7.......9.21...6......87.,25,39,17,0,0,0,0,0,0,Easy,
..6...27...7..31..2......53..16...8....8......69.31...7...........2.8..16..57....,24,36,21,0,0,0,0,0,0,Easy,
8...6...2..........91..267.2....1.9...8...3.7.6.8.......6...5...37.....95..9...21,25,52,4,0,0,0,0,0,0,Easy,
.....7......6......8.5.4..7..5.6..4.2....8..33...2.1.5...2....8.483...7.17....3.6,26,43,12,0,0,0,0,0,0,Easy,
.52.9....4..8......18.......31.........2..9.77...4.1.5....72..15....4.9...9...84.,25,46,10,0,0,0,0,0,0,Easy,
7.....2.9.63..7..4..2813.6....1..........4.7........9..1.48...2..73......9.2....8,25,41,15,0,0,0,0,0,0,Easy,
....4........93...9..8752..79....3..84...6...5..7..48....52.....32..8..6.8.......,25,52,4,0,0,0,0,0,0,Easy,
6.5.2..9...97...3.4.2....5...61.39..9....4..6..46..1......9.3..............4.17..,25,52,4,0,0,0,0,0,0,Easy,
....2...8.....9.2.3...4....2...3..6.5..1.4..2...8..9.3...........69.1...8.4....31,23,43,15,0,0,0,0,0,0,Easy,
7..4.....45.9.6..76.1.72.9457......6..6..9.3..2...3.4.........5....1.....1..4...9,27,37,17,0,0,0,0,0,0,Easy,
..8..3..7.5..8.2....6..7..1...5.9....2.....9.....3.6..3..7.....8...95.6..7..28.3.,25,48,8,0,0,0,0,0,0,Easy,
.....8..2.7.....8.9..7.....7.1..25...9..3....38......11..8.3.2....12...48...79.1.,26,34,21,0,0,0,0,0,0,Easy,
