Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty,
...1.3..2.6....15........4.2..69..3......8.9.....4.5...3.8.2....9.45.36.........1,24,57,0,0,0,0,0,0,0,Simple,
2....3......6.9.5..812....737...5928....8.............89.....3.157....8...3.....5,25,56,0,0,0,0,0,0,0,Simple,
.2..1.9.8.3..4.....193.7.2........4.9.1......3.6.21..7...8.......8..6...7..93....,25,56,0,0,0,0,0,0,0,Simple,
.8.37...165........7.8.2.....7..6..4...5..6.3....1...5...1..84....4.8.56....5.1..,26,55,0,0,0,0,0,0,0,Simple,
....82.3..1......298...7..4...7..1...........4....16..32..6...7..7....1.8.....9.3,23,58,0,0,0,0,0,0,0,Simple,
...658.......7....6.4..9...2675...4...51.............67.....6.598.....72....84...,24,57,0,0,0,0,0,0,0,Simple,
8.6.5...4.......9..74..62.56...2......57..............962..487..4...7..9..7..35..,26,55,0,0,0,0,0,0,0,Simple,
.....5......6...977....92.8.......63.9.1..8..6.....5......6.385..69821.....7.....,25,56,0,0,0,0,0,0,0,Simple,
.9....8..1..............9......3..626...25..97.5.1.38..3.8..1..8..59...62.96.....,26,55,0,0,0,0,0,0,0,Simple,
96.......8.47...19......2.4.......3.27..4.....9.68..2.132....9.4.......8.....73..,25,56,0,0,0,0,0,0,0,Simple,
........2..6.3..919.72..68.....2...........3...91.7.2....8..97583..6........1....,24,57,0,0,0,0,0,0,0,Simple,
26..9.3...435.2.8...9.634.......58...928......35....9.....8.6.7.5........2.7.....,27,54,0,0,0,0,0,0,0,Simple,
9...8..3.65..271....13.5..9....1.....6..9.............28..6..7..3...82.5.7.1..8..,26,55,0,0,0,0,0,0,0,Simple,
.......82.....7..4....4159..596..2.1......8.9.........1..7..6....7.82..5.8..5.14.,26,55,0,0,0,0,0,0,0,Simple,
....9.8.....5.2.9.6.....35....32......3..6.8.....8.61..5.2.1.49.1.9....5.3...4...,26,55,0,0,0,0,0,0,0,Simple,
